User, Question, Answer
11730,I sometimes feel my success with my voice/instrument is intentionally sabotaged by my friends/family.,75
11730,I sometimes feel my success with my voice/instrument is unintentionally sabotaged by my friends/family.,50
11730,There is a person or there are people who care about me succeeding as much as I do.,75
11730,I have a plan for combating any performance anxiety I might experience.,50
11730,I have a method for coping with stress that works.,75
11730,I plan too much for myself.,50
11730,I am good about setting boundaries and not taking on too much.,75
11730,I have personally experienced performance anxiety in my life.,50
11730,I have personally experienced performance anxiety in the recent past.,75
11730,I used to get nervous  but don't tend to do that anymore.,50
11730,I am an introverted individual.,75
11730,I am an extroverted individual.,50
11730,I fear the future.,75
11730,I am a positive thinker.,50
11730,I'm often negative.,75
11730,Important people will be at my performances.,50
11730,I am embarrassed by my nervousness.,75
11730,My heart is races when I perform.,50
11730,I breathe faster than normal when I perform.,75
11730,I sweat because of anxiety when I perform.,50
11730,I get cold because of anxiety when I perform.,75
11730,I can't get motivated for performances.,50
11730,I am more critical of myself than usual when a performance is imminent.,75
11730,I have trouble staying focused when anticipating a performance.,50
11730,I make more mistakes than I should when anticipating a performance.,75
11730,I imagine the worst when anticipating a performance.,50
11730,My voice is affected by my nervousness during a performance.,75
11730,My teacher doesn't think I perform as well as I should.,50
11730,My peers don't think I perform as well as I should.,75
11730,My family/friends don't think I perform as well as I should.,50
11730,My romantic partner doesn't think I perform as well as I should.,75
11730,My stomach gets upset when I perform.,50
11730,I feel jittery when I perform.,75
11730,I feel uneasy when I perform.,50
11730,During performances I am concerned about the outcome of that performance.,75
11730,I have memory slips because of anxiety when I perform.,50
11730,I have trouble sleeping when anticipating a performance.,75
11730,My eating habits change because of anxiety when anticipating a performance.,50
11730,Anxiety affects the amount of practicing I do.,75
11730,Anxiety affects the quality of my practicing.,50
11730,My sleep habits are affected by anxiety.,75
11730,I become irritable because of anxiety.,50
11730,I drink more alcohol because of anxiety.,75
11730,I use recreational drugs because of anxiety.,50
11730,I procrastinate because of anxiety.,75
11730,My relationships are affected by my anxiety.,50
11730,My general activity level is affected by anxiety.,75
11730,My throat gets dry because of anxiety during performances.,50
11730,I often want to cancel or reschedule my performances because of anxiety.,75
11730,I'd rather be singing/playing in a practice room than in front of people.,50
11730,Nervousness is negatively affecting my musical progress.,75
11730,I am driven to do my best.,50
11730,My quality of performing/singing/playing is consistent.,75
11730,I start new projects with lots of energy.,50
11730,I fear success.,75
11730,I function well at a high energy level.,50
11730,I am able to quiet mental chatter.,75
11730,I frequently imagine the worst.,50
11730,I need to learn how to relax.,75
11730,No matter how much I prepare  something always goes wrong.,50
11731,I am critical of myself in my lessons  or was critical of myself in lessons when I took lessons.,100
11731,I am a good singer/player.,6
11731,I have a good relationship with my family.,25
11731,My teacher understands my performance anxiety fully.,75
11731,I believe that things happen for a reason.,50
11731,My family and friends come to support me in my performances.,25
11731,I have trouble sleeping when anticipating a performance.,6
11731,My eating habits change because of anxiety when anticipating a performance.,25
11731,I am driven to do my best.,75
11731,I frequently imagine the worst.,0
11731,I have perfect/absolute pitch.,75
11731,I have strong relative pitch.,50
11731,I consider myself to be a good musician.,75
11731,I learn music easily.,50
11731,I memorize music easily.,75
11731,My voice/instrument teacher and I have a good relationship.,50
11731,I am critical of myself in my lessons  or was critical of myself in lessons when I took lessons.,75
11731,I am critical of myself in my practicing.,50
11731,I tend to get sick near a performance.,75
11731,I am a generally healthy person.,50
11731,My diet is healthy.,75
11731,I get enough sleep on a regular basis.,50
11731,I exercise regularly.,75
11731,I regularly hydrate well enough to support my body and vocal/instrument endeavors.,50
11731,I deal with stress well.,75
11731,I am stressed more often than I should be.,50
11731,I am a generally anxious person.,75
11731,People who know me would say I am an anxious or stressed person.,50
11731,I feel like I belong at this school/in this career/avocation (related to music).,75
11731,I feel like I belong in my teacher's studio of students.,50
11731,I feel comfortable in my teacher's studio.,75
11731,I feel comfortable performing in front of my musical colleagues.,50
11731,My teacher believes in me and my vocal/instrumental ability.,75
11731,My family believes in me and my vocal/instrumental ability.,50
11731,I believe in myself and my vocal/instrumental ability.,75
11731,My teacher understands my musical goals.,50
11731,My teacher understands who I am as a person.,75
11731,I am a confident singer/player.,50
11731,I am a confident performer.,75
11731,I am easily distractible.,50
11731,I maintain my focus easily when singing/playing.,75
11731,I maintain my focus easily when practicing.,50
11731,I maintain my focus easily when performing.,75
11731,Staying focused during a performance can be a struggle.,50
11731,I believe I will have good audience turnout for my performances.,75
11731,As a child  I was a natural performer.,50
11731,I consider myself to be a natural performer.,75
11731,Those who know me would consider me to be a natural performer.,50
11731,I am sometimes down or depressed.,75
11731,I am often down or depressed.,50
11731,I like who I am as a person.,75
11731,I like who I am as a singer/player.,50
11731,I am a good singer/player.,75
11731,I am a physically attractive person.,50
11731,Others consider me to be a physically attractive person.,75
11731,I have a good relationship with my family.,50
11731,I have good relationships with my friends.,75
11731,If I am in one  I am happy in my romantic relationship.,50
11731,I am content with the frequency of my dating.,75
11731,I have a good relationship with my romantic partner.,50
11731,My romantic partner believes in me and my vocal/instrumental ability.,75
11731,My romantic partner understands my musical goals.,50
11731,My romantic partner understands who I am as a person.,75
11731,My romantic partner supports me in my performances.,50
11731,My romantic partner wants me to succeed with my voice/instrument.,75
11731,I sometimes feel my success with my voice/instrument is intentionally sabotaged by my romantic partner.,50
11731,I sometimes feel my success with my voice/instrument is unintentionally sabotaged by my romantic partner.,75
11731,I sometimes have low self-esteem.,50
11731,I often have low self-esteem.,75
11731,I have other activities I take part in and enjoy besides singing/playing.,50
11731,A career as a professional musician is important to me.,75
11731,Performing music is very important to me.,50
11731,I prefer performances to auditions.,75
11731,Auditions make me nervous.,50
11731,I consider myself to be a perfectionist.,75
11731,Those who know me well would consider me to be a perfectionist.,50
11731,I am a competitive person by nature.,75
11731,I am a competitive person because of my musical/performance plans.,50
11731,I enjoy a challenge.,75
11731,I enjoy a competition.,50
11731,I tend to have anxiety about performances.,75
11731,I tend to have anxiety about auditions.,50
11731,My teacher understands my performance anxiety fully.,75
11731,My romantic partner understands my performance anxiety fully.,50
11731,Only a small percentage of singers/instrumentalists will actually sing/play for a living.,75
11731,I am disheartened by the odds for success as a singer/instrumentalist.,50
11731,I believe that  even if I don't sing/play for a living  I will be happy.,75
11731,Singing/playing is my top priority.,50
11731,Singing/playing is very high on my priority list.,75
11731,I consider myself to be a religious or spiritual person.,50
11731,I regularly attend religious services.,75
11731,I believe that a higher power is looking out for me.,50
11731,I believe that things happen for a reason.,75
11731,I believe that I choose what happens in my own life.,50
11731,I believe that much of my life has already been decided for me.,75
11731,I have complete control over the course my musical career takes.,50
11731,I have too little control over the course my musical career takes.,75
11731,I like to be in control.,50
11731,I feel uncomfortable if I don't have enough control.,75
11731,I feel uncomfortable if I have too much control.,50
11731,I deal well with conflicts.,75
11731,I am a non-confrontational person.,50
11731,My family and friends come to support me in my performances.,75
11731,I have a good support system in my family and/or friends.,50
11731,My friends and family want me to succeed with my voice/instrument.,75
11731,My friends and family understand my performance anxiety fully.,50
11731,I sometimes feel my success with my voice/instrument is intentionally sabotaged by my friends/family.,75
11731,I sometimes feel my success with my voice/instrument is unintentionally sabotaged by my friends/family.,50
11731,There is a person or there are people who care about me succeeding as much as I do.,75
11731,I have a plan for combating any performance anxiety I might experience.,50
11731,I have a method for coping with stress that works.,75
11731,I plan too much for myself.,50
11731,I am good about setting boundaries and not taking on too much.,75
11731,I have personally experienced performance anxiety in my life.,50
11731,I have personally experienced performance anxiety in the recent past.,75
11731,I used to get nervous  but don't tend to do that anymore.,50
11731,I am an introverted individual.,75
11731,I am an extroverted individual.,50
11731,I fear the future.,75
11731,I am a positive thinker.,50
11731,I'm often negative.,75
11731,Important people will be at my performances.,50
11731,I am embarrassed by my nervousness.,75
11731,My heart is races when I perform.,50
11731,I breathe faster than normal when I perform.,75
11731,I sweat because of anxiety when I perform.,50
11731,I get cold because of anxiety when I perform.,75
11731,I can't get motivated for performances.,50
11731,I am more critical of myself than usual when a performance is imminent.,75
11731,I have trouble staying focused when anticipating a performance.,50
11731,I make more mistakes than I should when anticipating a performance.,75
11731,I imagine the worst when anticipating a performance.,50
11731,My voice is affected by my nervousness during a performance.,75
11731,My teacher doesn't think I perform as well as I should.,50
11731,My peers don't think I perform as well as I should.,75
11731,My family/friends don't think I perform as well as I should.,50
11731,My romantic partner doesn't think I perform as well as I should.,75
11731,My stomach gets upset when I perform.,50
11731,I feel jittery when I perform.,75
11731,I feel uneasy when I perform.,50
11731,During performances I am concerned about the outcome of that performance.,75
11731,I have memory slips because of anxiety when I perform.,50
11731,I have trouble sleeping when anticipating a performance.,75
11731,My eating habits change because of anxiety when anticipating a performance.,50
11731,Anxiety affects the amount of practicing I do.,75
11731,Anxiety affects the quality of my practicing.,50
11731,My sleep habits are affected by anxiety.,75
11731,I become irritable because of anxiety.,50
11731,I drink more alcohol because of anxiety.,75
11731,I use recreational drugs because of anxiety.,50
11731,I procrastinate because of anxiety.,75
11731,My relationships are affected by my anxiety.,50
11731,My general activity level is affected by anxiety.,75
11731,My throat gets dry because of anxiety during performances.,50
11731,I often want to cancel or reschedule my performances because of anxiety.,75
11731,I'd rather be singing/playing in a practice room than in front of people.,50
11731,Nervousness is negatively affecting my musical progress.,75
11731,I am driven to do my best.,50
11731,My quality of performing/singing/playing is consistent.,75
11731,I start new projects with lots of energy.,50
11731,I fear success.,75
11731,I function well at a high energy level.,50
11731,I am able to quiet mental chatter.,75
11731,I frequently imagine the worst.,50
11731,I need to learn how to relax.,75
11731,No matter how much I prepare  something always goes wrong.,50
11732,I have perfect/absolute pitch.,6
11732,I am critical of myself in my practicing.,50
11732,I tend to get sick near a performance.,6
11732,I maintain my focus easily when performing.,50
11732,Staying focused during a performance can be a struggle.,75
11732,My romantic partner wants me to succeed with my voice/instrument.,6
11732,A career as a professional musician is important to me.,6
11732,Performing music is very important to me.,25
11732,I consider myself to be a perfectionist.,0
11732,My teacher understands my performance anxiety fully.,25
11732,Only a small percentage of singers/instrumentalists will actually sing/play for a living.,50
11732,I sweat because of anxiety when I perform.,100
11732,I make more mistakes than I should when anticipating a performance.,50
11732,My peers don't think I perform as well as I should.,6
11732,I feel uneasy when I perform.,75
11732,I become irritable because of anxiety.,6
11732,I have perfect/absolute pitch.,75
11732,I have strong relative pitch.,50
11732,I consider myself to be a good musician.,75
11732,I learn music easily.,50
11732,I memorize music easily.,75
11732,My voice/instrument teacher and I have a good relationship.,50
11732,I am critical of myself in my lessons  or was critical of myself in lessons when I took lessons.,75
11732,I am critical of myself in my practicing.,50
11732,I tend to get sick near a performance.,75
11732,I am a generally healthy person.,50
11732,My diet is healthy.,75
11732,I get enough sleep on a regular basis.,50
11732,I exercise regularly.,75
11732,I regularly hydrate well enough to support my body and vocal/instrument endeavors.,50
11732,I deal with stress well.,75
11732,I am stressed more often than I should be.,50
11732,I am a generally anxious person.,75
11732,People who know me would say I am an anxious or stressed person.,50
11732,I feel like I belong at this school/in this career/avocation (related to music).,75
11732,I feel like I belong in my teacher's studio of students.,50
11732,I feel comfortable in my teacher's studio.,75
11732,I feel comfortable performing in front of my musical colleagues.,50
11732,My teacher believes in me and my vocal/instrumental ability.,75
11732,My family believes in me and my vocal/instrumental ability.,50
11732,I believe in myself and my vocal/instrumental ability.,75
11732,My teacher understands my musical goals.,50
11732,My teacher understands who I am as a person.,75
11732,I am a confident singer/player.,50
11732,I am a confident performer.,75
11732,I am easily distractible.,50
11732,I maintain my focus easily when singing/playing.,75
11732,I maintain my focus easily when practicing.,50
11732,I maintain my focus easily when performing.,75
11732,Staying focused during a performance can be a struggle.,50
11732,I believe I will have good audience turnout for my performances.,75
11732,As a child  I was a natural performer.,50
11732,I consider myself to be a natural performer.,75
11732,Those who know me would consider me to be a natural performer.,50
11732,I am sometimes down or depressed.,75
11732,I am often down or depressed.,50
11732,I like who I am as a person.,75
11732,I like who I am as a singer/player.,50
11732,I am a good singer/player.,75
11732,I am a physically attractive person.,50
11732,Others consider me to be a physically attractive person.,75
11732,I have a good relationship with my family.,50
11732,I have good relationships with my friends.,75
11732,If I am in one  I am happy in my romantic relationship.,50
11732,I am content with the frequency of my dating.,75
11732,I have a good relationship with my romantic partner.,50
11732,My romantic partner believes in me and my vocal/instrumental ability.,75
11732,My romantic partner understands my musical goals.,50
11732,My romantic partner understands who I am as a person.,75
11732,My romantic partner supports me in my performances.,50
11732,My romantic partner wants me to succeed with my voice/instrument.,75
11732,I sometimes feel my success with my voice/instrument is intentionally sabotaged by my romantic partner.,50
11732,I sometimes feel my success with my voice/instrument is unintentionally sabotaged by my romantic partner.,75
11732,I sometimes have low self-esteem.,50
11732,I often have low self-esteem.,75
11732,I have other activities I take part in and enjoy besides singing/playing.,50
11732,A career as a professional musician is important to me.,75
11732,Performing music is very important to me.,50
11732,I prefer performances to auditions.,75
11732,Auditions make me nervous.,50
11732,I consider myself to be a perfectionist.,75
11732,Those who know me well would consider me to be a perfectionist.,50
11732,I am a competitive person by nature.,75
11732,I am a competitive person because of my musical/performance plans.,50
11732,I enjoy a challenge.,75
11732,I enjoy a competition.,50
11732,I tend to have anxiety about performances.,75
11732,I tend to have anxiety about auditions.,50
11732,My teacher understands my performance anxiety fully.,75
11732,My romantic partner understands my performance anxiety fully.,50
11732,Only a small percentage of singers/instrumentalists will actually sing/play for a living.,75
11732,I am disheartened by the odds for success as a singer/instrumentalist.,50
11732,I believe that  even if I don't sing/play for a living  I will be happy.,75
11732,Singing/playing is my top priority.,50
11732,Singing/playing is very high on my priority list.,75
11732,I consider myself to be a religious or spiritual person.,50
11732,I regularly attend religious services.,75
11732,I believe that a higher power is looking out for me.,50
11732,I believe that things happen for a reason.,75
11732,I believe that I choose what happens in my own life.,50
11732,I believe that much of my life has already been decided for me.,75
11732,I have complete control over the course my musical career takes.,50
11732,I have too little control over the course my musical career takes.,75
11732,I like to be in control.,50
11732,I feel uncomfortable if I don't have enough control.,75
11732,I feel uncomfortable if I have too much control.,50
11732,I deal well with conflicts.,75
11732,I am a non-confrontational person.,50
11732,My family and friends come to support me in my performances.,75
11732,I have a good support system in my family and/or friends.,50
11732,My friends and family want me to succeed with my voice/instrument.,75
11732,My friends and family understand my performance anxiety fully.,50
11732,I sometimes feel my success with my voice/instrument is intentionally sabotaged by my friends/family.,75
11732,I sometimes feel my success with my voice/instrument is unintentionally sabotaged by my friends/family.,50
11732,There is a person or there are people who care about me succeeding as much as I do.,75
11732,I have a plan for combating any performance anxiety I might experience.,50
11732,I have a method for coping with stress that works.,75
11732,I plan too much for myself.,50
11732,I am good about setting boundaries and not taking on too much.,75
11732,I have personally experienced performance anxiety in my life.,50
11732,I have personally experienced performance anxiety in the recent past.,75
11732,I used to get nervous  but don't tend to do that anymore.,50
11732,I am an introverted individual.,75
11732,I am an extroverted individual.,50
11732,I fear the future.,75
11732,I am a positive thinker.,50
11732,I'm often negative.,75
11732,Important people will be at my performances.,50
11732,I am embarrassed by my nervousness.,75
11732,My heart is races when I perform.,50
11732,I breathe faster than normal when I perform.,75
11732,I sweat because of anxiety when I perform.,50
11732,I get cold because of anxiety when I perform.,75
11732,I can't get motivated for performances.,50
11732,I am more critical of myself than usual when a performance is imminent.,75
11732,I have trouble staying focused when anticipating a performance.,50
11732,I make more mistakes than I should when anticipating a performance.,75
11732,I imagine the worst when anticipating a performance.,50
11732,My voice is affected by my nervousness during a performance.,75
11732,My teacher doesn't think I perform as well as I should.,50
11732,My peers don't think I perform as well as I should.,75
11732,My family/friends don't think I perform as well as I should.,50
11732,My romantic partner doesn't think I perform as well as I should.,75
11732,My stomach gets upset when I perform.,50
